Occupation_ID,Occupation,Job Category,Link
1,Data Entry Keyers,Data Entry/Analysis/Science,https://www.onetonline.org/find/match/1/43-9021.00?s=Data%20Entry%2FAnalysis%2FScience
2,Statistical Assistants,Data Entry/Analysis/Science,https://www.onetonline.org/find/match/2/43-9111.00?s=Data%20Entry%2FAnalysis%2FScience
3,Social Science Research Assistants,Data Entry/Analysis/Science,https://www.onetonline.org/find/match/3/19-4061.00?s=Data%20Entry%2FAnalysis%2FScience
4,Word Processors and Typists,Data Entry/Analysis/Science,https://www.onetonline.org/find/match/4/43-9022.00?s=Data%20Entry%2FAnalysis%2FScience
5,"Interviewers, Except Eligibility and Loan",Data Entry/Analysis/Science,https://www.onetonline.org/find/match/5/43-4111.00?s=Data%20Entry%2FAnalysis%2FScience
6,Order Clerks,Data Entry/Analysis/Science,https://www.onetonline.org/find/match/6/43-4151.00?s=Data%20Entry%2FAnalysis%2FScience
7,File Clerks,Data Entry/Analysis/Science,https://www.onetonline.org/find/match/7/43-4071.00?s=Data%20Entry%2FAnalysis%2FScience
8,"Office Clerks, General",Data Entry/Analysis/Science,https://www.onetonline.org/find/match/8/43-9061.00?s=Data%20Entry%2FAnalysis%2FScience
9,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Data Entry/Analysis/Science,https://www.onetonline.org/find/match/9/43-5111.00?s=Data%20Entry%2FAnalysis%2FScience
10,First-Line Supervisors of Office and Administrative Support Workers,Data Entry/Analysis/Science,https://www.onetonline.org/find/match/10/43-1011.00?s=Data%20Entry%2FAnalysis%2FScience
11,Customs Brokers,Data Entry/Analysis/Science,https://www.onetonline.org/find/match/11/13-1041.08?s=Data%20Entry%2FAnalysis%2FScience
12,Midwives,Data Entry/Analysis/Science,https://www.onetonline.org/find/match/12/29-9099.01?s=Data%20Entry%2FAnalysis%2FScience
13,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Data Entry/Analysis/Science,https://www.onetonline.org/find/match/13/51-4023.00?s=Data%20Entry%2FAnalysis%2FScience
14,Nurse Midwives,Data Entry/Analysis/Science,https://www.onetonline.org/find/match/14/29-1161.00?s=Data%20Entry%2FAnalysis%2FScience
15,"Explosives Workers, Ordnance Handling Experts, and Blasters",Data Entry/Analysis/Science,https://www.onetonline.org/find/match/15/47-5032.00?s=Data%20Entry%2FAnalysis%2FScience
16,Rehabilitation Counselors,Data Entry/Analysis/Science,https://www.onetonline.org/find/match/16/21-1015.00?s=Data%20Entry%2FAnalysis%2FScience
17,Social and Human Service Assistants,Data Entry/Analysis/Science,https://www.onetonline.org/find/match/17/21-1093.00?s=Data%20Entry%2FAnalysis%2FScience
18,Postal Service Clerks,Data Entry/Analysis/Science,https://www.onetonline.org/find/match/18/43-5051.00?s=Data%20Entry%2FAnalysis%2FScience
19,Automotive Glass Installers and Repairers,Data Entry/Analysis/Science,https://www.onetonline.org/find/match/19/49-3022.00?s=Data%20Entry%2FAnalysis%2FScience
20,Data Scientists,Data Entry/Analysis/Science,https://www.onetonline.org/find/match/20/15-2051.00?s=Data%20Entry%2FAnalysis%2FScience
21,Software Quality Assurance Analysts and Testers,Software testing/technician,https://www.onetonline.org/find/match/1/15-1253.00?s=Software%20testing%2Ftechnician
22,Software Developers,Software testing/technician,https://www.onetonline.org/find/match/2/15-1252.00?s=Software%20testing%2Ftechnician
23,Computer User Support Specialists,Software testing/technician,https://www.onetonline.org/find/match/3/15-1232.00?s=Software%20testing%2Ftechnician
24,Computer Programmers,Software testing/technician,https://www.onetonline.org/find/match/4/15-1251.00?s=Software%20testing%2Ftechnician
25,Network and Computer Systems Administrators,Software testing/technician,https://www.onetonline.org/find/match/5/15-1244.00?s=Software%20testing%2Ftechnician
26,Database Administrators,Software testing/technician,https://www.onetonline.org/find/match/6/15-1242.00?s=Software%20testing%2Ftechnician
27,Computer Systems Analysts,Software testing/technician,https://www.onetonline.org/find/match/7/15-1211.00?s=Software%20testing%2Ftechnician
28,Computer Network Support Specialists,Software testing/technician,https://www.onetonline.org/find/match/8/15-1231.00?s=Software%20testing%2Ftechnician
29,Computer Network Architects,Software testing/technician,https://www.onetonline.org/find/match/9/15-1241.00?s=Software%20testing%2Ftechnician
30,Bioinformatics Technicians,Software testing/technician,https://www.onetonline.org/find/match/10/15-2099.01?s=Software%20testing%2Ftechnician
31,"Electronics Engineers, Except Computer",Software testing/technician,https://www.onetonline.org/find/match/11/17-2072.00?s=Software%20testing%2Ftechnician
32,Remote Sensing Technicians,Software testing/technician,https://www.onetonline.org/find/match/12/19-4099.03?s=Software%20testing%2Ftechnician
33,Electrical Engineers,Software testing/technician,https://www.onetonline.org/find/match/13/17-2071.00?s=Software%20testing%2Ftechnician
34,Database Architects,Software testing/technician,https://www.onetonline.org/find/match/14/15-1243.00?s=Software%20testing%2Ftechnician
35,Radio Frequency Identification Device Specialists,Software testing/technician,https://www.onetonline.org/find/match/15/17-2072.01?s=Software%20testing%2Ftechnician
36,Computer Systems Engineers/Architects,Software testing/technician,https://www.onetonline.org/find/match/16/15-1299.08?s=Software%20testing%2Ftechnician
37,Web and Digital Interface Designers,Software testing/technician,https://www.onetonline.org/find/match/17/15-1255.00?s=Software%20testing%2Ftechnician
38,Computer and Information Research Scientists,Software testing/technician,https://www.onetonline.org/find/match/18/15-1221.00?s=Software%20testing%2Ftechnician
39,Electro-Mechanical and Mechatronics Technologists and Technicians,Software testing/technician,https://www.onetonline.org/find/match/19/17-3024.00?s=Software%20testing%2Ftechnician
40,Blockchain Engineers,Software testing/technician,https://www.onetonline.org/find/match/20/15-1299.07?s=Software%20testing%2Ftechnician
41,Software Developers,Software Engineering,https://www.onetonline.org/find/match/1/15-1252.00?s=Software%20Engineering
42,Software Quality Assurance Analysts and Testers,Software Engineering,https://www.onetonline.org/find/match/2/15-1253.00?s=Software%20Engineering
43,Computer Systems Analysts,Software Engineering,https://www.onetonline.org/find/match/3/15-1211.00?s=Software%20Engineering
44,Aerospace Engineers,Software Engineering,https://www.onetonline.org/find/match/4/17-2011.00?s=Software%20Engineering
45,Computer Systems Engineers/Architects,Software Engineering,https://www.onetonline.org/find/match/5/15-1299.08?s=Software%20Engineering
46,Electrical and Electronic Engineering Technologists and Technicians,Software Engineering,https://www.onetonline.org/find/match/6/17-3023.00?s=Software%20Engineering
47,Computer User Support Specialists,Software Engineering,https://www.onetonline.org/find/match/7/15-1232.00?s=Software%20Engineering
48,"Electronics Engineers, Except Computer",Software Engineering,https://www.onetonline.org/find/match/8/17-2072.00?s=Software%20Engineering
49,Computer Programmers,Software Engineering,https://www.onetonline.org/find/match/9/15-1251.00?s=Software%20Engineering
50,Architectural and Engineering Managers,Software Engineering,https://www.onetonline.org/find/match/10/11-9041.00?s=Software%20Engineering
51,Electrical Engineers,Software Engineering,https://www.onetonline.org/find/match/11/17-2071.00?s=Software%20Engineering
52,Computer and Information Research Scientists,Software Engineering,https://www.onetonline.org/find/match/12/15-1221.00?s=Software%20Engineering
53,Mechanical Engineering Technologists and Technicians,Software Engineering,https://www.onetonline.org/find/match/13/17-3027.00?s=Software%20Engineering
54,Industrial Engineering Technologists and Technicians,Software Engineering,https://www.onetonline.org/find/match/14/17-3026.00?s=Software%20Engineering
55,Computer Hardware Engineers,Software Engineering,https://www.onetonline.org/find/match/15/17-2061.00?s=Software%20Engineering
56,"Mining and Geological Engineers, Including Mining Safety Engineers",Software Engineering,https://www.onetonline.org/find/match/16/17-2151.00?s=Software%20Engineering
57,Computer Network Architects,Software Engineering,https://www.onetonline.org/find/match/17/15-1241.00?s=Software%20Engineering
58,Environmental Engineering Technologists and Technicians,Software Engineering,https://www.onetonline.org/find/match/18/17-3025.00?s=Software%20Engineering
59,Network and Computer Systems Administrators,Software Engineering,https://www.onetonline.org/find/match/19/15-1244.00?s=Software%20Engineering
60,Bioengineers and Biomedical Engineers,Software Engineering,https://www.onetonline.org/find/match/20/17-2031.00?s=Software%20Engineering
61,Industrial-Organizational Psychologists,Organizing,https://www.onetonline.org/find/match/1/19-3032.00?s=Organizing
62,Concierges,Organizing,https://www.onetonline.org/find/match/2/39-6012.00?s=Organizing
63,Social and Human Service Assistants,Organizing,https://www.onetonline.org/find/match/3/21-1093.00?s=Organizing
64,Fundraisers,Organizing,https://www.onetonline.org/find/match/4/13-1131.00?s=Organizing
65,Management Analysts,Organizing,https://www.onetonline.org/find/match/5/13-1111.00?s=Organizing
