Skill_ID,Occupation_ID,Skill Category,Skill Name
1,1,Accounting software,Intuit QuickBooks
2,1,Accounting software,Sage 50 Accounting
3,1,Customer relationship management CRM software,Blackbaud The Raiser's Edge
4,1,Customer relationship management CRM software,Salesforce.com Salesforce CRM
5,1,Data base user interface and query software,Data entry software
6,1,Data base user interface and query software,FileMaker Pro
7,1,Data base user interface and query software,IBM Informix
8,1,Data base user interface and query software,Microsoft Access
9,1,Document management software,Perceptive Software Intelligent Capture
10,1,Electronic mail software,Microsoft Outlook
11,1,Enterprise resource planning ERP software,Jenzabar ERP
12,1,Enterprise resource planning ERP software,Microsoft Dynamics
13,1,Enterprise resource planning ERP software,Microsoft Dynamics GP
14,1,Enterprise resource planning ERP software,SAP
15,1,Medical software,Electronic medical record EMR software
16,1,Medical software,Healthcare common procedure coding system HCPCS
17,1,Medical software,Medical condition coding software
18,1,Medical software,Medical procedure coding software
19,1,Office suite software,Google Drive
20,1,Office suite software,Microsoft Office
21,1,Presentation software,Microsoft PowerPoint
22,1,Spreadsheet software,Microsoft Excel
23,1,Word processing software,Google Docs
24,1,Word processing software,Microsoft Word
25,2,Analytical or scientific software,IBM SPSS Statistics
26,2,Analytical or scientific software,SAS
27,2,Analytical or scientific software,Systat Software SigmaStat
28,2,Analytical or scientific software,The MathWorks MATLAB (see all 11 examples)
29,2,Business intelligence and data analysis software,Tableau
30,2,Computer aided design CAD software,Bentley Microstation
31,2,Customer relationship management CRM software,Avidian Technologies Prophet
32,2,Data base management system software,Oracle PL/SQL
33,2,Data base reporting software,SAP BusinessObjects Crystal Reports
34,2,Data base user interface and query software,Database software
35,2,Data base user interface and query software,dBASE
36,2,Data base user interface and query software,Microsoft Access
37,2,Data base user interface and query software,QSR International NVivo (see all 5 examples)
38,2,Development environment software,A programming language APL
39,2,Development environment software,Microsoft Visual Basic
40,2,Development environment software,Software development tools
41,2,Document management software,Hyland OnBase Enterprise Content Management
42,2,Electronic mail software,Microsoft Outlook
43,2,Financial analysis software,GGY AXIS
44,2,Financial analysis software,PolySystems Asset Delphi
45,2,Financial analysis software,Towers Perrin MoSes
46,2,Graphics or photo imaging software,Harvard Graphics
47,2,Internet browser software,Web browser software
48,2,Object or component oriented development software,Microsoft Visual C#
49,2,Object or component oriented development software,Oracle Java
50,2,Object or component oriented development software,Python
51,2,Object or component oriented development software,R (see all 5 examples)
52,2,Office suite software,Corel WordPerfect
53,2,Office suite software,Corel WordPerfect Office Suite
54,2,Office suite software,Microsoft Office
55,2,Presentation software,Microsoft PowerPoint
56,2,Spreadsheet software,IBM Lotus 1-2-3
57,2,Spreadsheet software,Microsoft Excel
58,2,Web platform development software,Microsoft Active Server Pages ASP
59,2,Word processing software,Microsoft Word
60,3,Analytical or scientific software,IBM SPSS Statistics
61,3,Analytical or scientific software,SAS
62,3,Analytical or scientific software,StataCorp Stata
63,3,Analytical or scientific software,The MathWorks MATLAB
64,3,Data base user interface and query software,Database software
65,3,Data base user interface and query software,Microsoft Access
66,3,Data base user interface and query software,Microsoft SQL Server
67,3,Desktop publishing software,Adobe Systems Adobe InDesign
68,3,Development environment software,Microsoft Visual Basic
69,3,Electronic mail software,Microsoft Outlook
70,3,Graphics or photo imaging software,Adobe Systems Adobe Illustrator
71,3,Graphics or photo imaging software,Graphics software
72,3,Information retrieval or search software,Online library databases
73,3,Internet browser software,Web browser software
74,3,Map creation software,ESRI ArcGIS software
75,3,Object or component oriented development software,R
76,3,Office suite software,Microsoft Office
77,3,Presentation software,Microsoft PowerPoint
78,3,Spreadsheet software,Microsoft Excel
79,3,Video creation and editing software,Video development software
80,4,Accounting software,Intuit QuickBooks
81,4,Customer relationship management CRM software,Blackbaud CRM
82,4,Customer relationship management CRM software,Oracle Siebel CRM
83,4,Customer relationship management CRM software,Swiftpage Act!
84,4,Data base user interface and query software,FileMaker Pro
85,4,Data base user interface and query software,Microsoft Access
86,4,Desktop publishing software,Microsoft Publisher
87,4,Document management software,Adobe Systems Adobe Acrobat
88,4,Electronic mail software,IBM Notes
89,4,Electronic mail software,Microsoft Outlook
90,4,Enterprise resource planning ERP software,Oracle PeopleSoft
91,4,Graphics or photo imaging software,Microsoft Visio
92,4,Medical software,SRSsoft SRS EHR
93,4,Office suite software,Corel WordPerfect Office Suite
94,4,Office suite software,Microsoft Office
95,4,Presentation software,Microsoft PowerPoint
96,4,Project management software,Microsoft SharePoint
97,4,Spreadsheet software,Microsoft Excel
98,4,Word processing software,Microsoft Word
99,5,Analytical or scientific software,Statistical software
100,5,Customer relationship management CRM software,Microsoft Dynamics
101,5,Data base user interface and query software,Data entry software
102,5,Data base user interface and query software,FileMaker Pro
103,5,Electronic mail software,Microsoft Outlook
104,5,Enterprise resource planning ERP software,Jenzabar EX
105,5,Enterprise resource planning ERP software,Oracle PeopleSoft
106,5,Enterprise resource planning ERP software,SAP Business Objects
107,5,Human resources software,RIVS automated interview software
