,country,city,state,relocation,profile0,interest_frontend,interest_fullstack,interest_ux,interest_business,interest_operations,JavaScript,HTML,CSS,NoSQL,Non-relational Databases,React / Redux,Angular,Server-side JavaScript,Agile Methodology,Trend Analysis,Java,Python,Sketch,Figma,Animation Software,Machine Learning,Alteryx,Tableu,R,profile1,profile2,profile3,profile4,profile5,education,field_of_study,prior_employment,work_exp,work_exp_relevant,last_job,verbal_skills,work_auth,work_auth_sponsorship,level,scheduling,relocate_dallas,relocate_new_york,schedule_full,schedule_part,level_intern,level_short,level_long
0,US,Chicago,Illinois,"Dallas, TX",Leading education between teams (teaching others new skills I have learned),4,4,5,4,5,2,2,2,2,2,2,1,1,2,2,1,3,0,2,0,2,0,1,0,"LeaseMagnets is technological project that I am most proud of.

I led the system design, ultimately leading to a  SQL design decision with a Flask backend and React frontend. 

Additionally, I had to build over 25 endpoints to both manage user authentication, but also manage all the product's API's, in addition to building a dashboard to manage all user information and show analytics, and last but not least a frontend widget that was customer facing.",,,,,4,Computer Science Engineering & Business,True,0,0,"•  Identified 12 most important features that were being repeated in commercial bank loans middle market blankers loan processes
•  Built a Python ML email extraction model to streamline 40% (~317.5 hrs/mo) of middle office processing for 50,000+ lending operations yearly
• Identified 12 new features via SQL, generating 610,900 data points to improve previous model’s accuracy by 31% with Sklearn & NLTK in Python
• Implemented a custom integration of Levenshtein algorithm and TF-IDF Keyword Scanner Python for 45% better entity prediction
•  Implemented a new email preview workflow tool in Angular JS after organizing and leading 10 user interviews",1,True,False,"Unpaid internships, Paid internships, Contract work / Short-term work, Permanent / Long-term work","Part-time (less than 40 hours per week), Full-time (at least 40 hours per week)",1.0,0.0,True,True,True,True,True
1,US,Raleigh-Durham,,"New York City, NY",Economist,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,My HSCS project and econometrics project,"R, Microsoft Excel, SAS",,,,4,Economics,True,1,0,Analyzed Investment Funds for ESG compatibility with retail investors.,2,True,False,"Unpaid internships, Paid internships, Contract work / Short-term work, Permanent / Long-term work","Part-time (less than 40 hours per week), Full-time (at least 40 hours per week)",0.0,1.0,True,True,True,True,True
2,US,West Palm Beach,Florida,"Dallas, TX","Consumer & Investment Management, Global Investment Research, Real Estate",0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,2,"During my current off-cycle internship I had the opportunity to work closely with the Data Analytics team where I was first exposed to Tableau. I helped construct an interactive organization matrix which provided enhanced visibility within the organization, particularly between regions. The purpose of the dashboard was to connect and align procurement colleagues globally, especially after the rapid integration of Celgene (Pharmaceutical company).","Microsoft Office Suite, Minitab, Stata, Capital IQ, Spotfire, SAP Ariba Spend Analysis",I combined my passion for mathematics and love for social sciences by pursuing studies in Economics. This lead me to take statistics classes which introduced me to programs such as R Studio and Stata; this was my first exposure to programming and data analysis. I decided to learn basic coding. I also had the opportunity to work closely with the Data Analytics team at my current co-op at Bristol Myers Squibb which further strengthened my desire to pursue a career which involved data analytics.,"Naturally I am a very curious person and believe that experience is the teacher of all things. For this reason, I try to gain exposure to new opportunities and I am not afraid of challenges or obstacles. I believe that my open mindedness allows me to be a valuable team player.","I will thrive in a company that values people. I seek a company that prioritizes cultivating and sustaining a diverse work environment and workforce, as I believe this type of environment is most conducive for personal and company growth.",4,"Economics, Asian Studies, Spanish",True,1,0,"I formulates strategies that are achievable, cost-effective and addressed organizational goals by providing data analysis for the procurement department. 
I also completes price analysis, identify cost drivers, and construct process mapping using analytics platforms like Tableau and Spotfire.",2,True,False,"Unpaid internships, Paid internships, Contract work / Short-term work, Permanent / Long-term work","Part-time (less than 40 hours per week), Full-time (at least 40 hours per week)",1.0,0.0,True,True,True,True,True
3,US,New York City,New York,"New York City, NY",,5,5,4,0,0,2,3,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,When I was in college I would update the tech tern website and I really enjoyed adding new content to it and making it visualizing pleasing.,,"When I was taking computer science classes I found it a little hard to understand but I knew I wanted to keep coding. I wasn't sure if I wanted to keep programing so I was recommend to take a web programming class. After I took that one class, I knew I wanted to do this as a field. I describe myself as a crafty person and programing a website brought out my creative side and how much like to code a website.",I am a very hard worker and I don't like to give up when doing a project. I will not give up until I try all the ways possible to get that answer. I work at a slower pace but I think it shows how important it is for me to get everything done right and understand everything I am doing.,I will thrive in a company where people can adapt and work well with others with different working styles and needs. Where I can build a great community with my coworkers and feel apart of the team. Also somewhere where I can learn new things and develop skill sets.,4,Emerging Media,True,0,0,"I collaborated with a team of two to three teaching assistants and one instructor to oversee 30-35 students from high school, 30 hours per week. I taught high school students to code, led breakout rooms in Zoom, conducted office hours, graded assignments and provided feedback. I reviewed student’s evaluation forms and tweaked lesson plans accordingly. I also participated in daily team meetings and once a week site lead meetings",2,True,False,"Paid internships, Permanent / Long-term work, Contract work / Short-term work","Full-time (at least 40 hours per week), Part-time (less than 40 hours per week)",0.0,1.0,True,True,True,True,True
4,US,Scranton,Pennsylvania,"Dallas, TX","I was fortunate enough to be a part of the Goldman Sachs GSAM PWM Audit Engagement Team and Risk Assurance and found both individuals that I had a relationship with enlightening and greatly enjoyed the business as I learned how it operated. I also spent some time in Goldman Sachs' office in Salt Lake City as a part of my time at PwC. I want to pursue roles that can integrate my multidisciplinary and interdisciplinary interests. I think I am someone who can put in the extensive work to one day perhaps be a part of the Investment Strategies Group and use my neurodiverse means of thinking (I have historically referred to this as cognitive diversity) to create value in ways that may not be so apparent to other people. In short, I am interested in investments and wealth management but believe that operational automation and exposure to neural networks and machine learning on my own will be the foundation that can bring me to that level. I also remember meeting a young man that was the cousin of a friend of mine who joined Goldman Sachs when I was in eighth grade and he had gone to Northeastern University, which was pivotal in my decision to follow that path. And the way he explained an operations role as constantly solving new problems and finding ways to solve problems with potentially less resources than were available prior sparked the long-held interest I have had in the operational role.",0,0,0,4,5,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,2,0,"Faculty Supported Research: “Data Breaches: Perceived Loss and Economic Firm Value” | Professor Coleen Pantalone (Grant-Awarded Project)
  Public Policy Analyst Memo, Re: High Frequency Trading, Senator Warren (MA) | Professor Michael S. Dukakis
  “Forecasts in Political Decision Making Theory & Political Black Swans” (Capstone) | Professor Natalie Bormann
  Entergy Conversion Plan, Re: Entergy Pilgrim Power Plant, Economic Sec. Jay Ash | Professor Michael S. Dukakis
  Tactical Asset Allocation Strategies (an exposition) & Automated Financial Models | Professor Daniel Archabal
These are all projects that I had established and I think speak to my desire to find a solid career path that I can one day integrate my interdisciplinary mode of thinking. The project I had begun discussions with was a neuroeconomic project that I had arranged for the Chairman of the Economics department at Northeastern to work with me on but more pressing health related issues prevented this from materializing. I want to emphasize that a well educated mind, with neurodiversity and cognitive diversity, has psychosocial challenges that are incredible achievements to overcome in and of themselves that lead to a well formed mind.","Microsoft Excel and Microsoft Access, Microsoft Visio, basic STATA from classes in statistics and Big Data Accounting. I can integrate VBA macros in Excel (primarily through recording macros and making edits in the VBA editor to create automated tasks or interactive workbooks) and integrate Excel and Access though my intensive classes in these tools were in 2015. But I am not only a fast learner and I recall and re-establish prior competencies quite quickly.",,,,4,"Finance & Insurance, Accounting, Political Science (economics minor) (Graduate Certificate)",True,2,1,"I undertook the task of mastering elements of the US tax code, piece by piece, accross all different types of individuals and entities. I then had to bridge the gap between understanding and effective communication to people who have no background in tax concepts. This strongly differed from my role at Brown Brothers Harriman where the clients were institutional and almost exclusively hedge fund and private equity clients.",2,True,False,"Paid internships, Contract work / Short-term work, Permanent / Long-term work, Unpaid internships","Part-time (less than 40 hours per week), Full-time (at least 40 hours per week)",1.0,0.0,True,True,True,True,True
5,US,San Francisco,California,"New York City, NY",User Research and Product Design,0,0,5,3,0,0,0,0,0,0,0,0,0,2,0,3,2,3,3,2,0,0,0,0,"My last experience at Bank of the West was a UX Design and Research position. In that role, I learned a lot about survey design and the power of moderated user testing and made me realize that I want to be involved with user research and UX design in a complementary manner. What motivates me is knowing my designs are backed up by business and customer goals.","Sketch, Figma, Invision, Journey Mapping, Wireframing, Rapid Prototyping, Mockup Creation, Storyboarding, Survey Design, Ethnographic Research, Usability Testing, Persona Building, Python, C++, Java, MATLAB, Scheme, SQL, Google Analytics, Jira, Confluence, UserZoom, Adobe Creative Cloud (Adobe Photoshop, Adobe XD, Adobe Illustrator), Agile","I was told by a friend of mine about UX Design when I was exploring my interests and joined a 1-day UX Design Bootcamp to understand what UX Design is all about and the instructor told us about an experience crafted for children who need to have MRIs done. I was fascinated by how an awful experience for a child could be turned into a positive one by transforming the MRI machine into a pirate ship. So simple, yet so effective and impactful. I fell in love with the field right then and there.","Honesty, compassion, and motivation. I choose these three because I believe they are the core values I bring to the table. I believe being honest and straight forward about one's opinions increases trust and encourages open communication amongst coworkers. I am also very compassionate when it comes to understanding the needs of the user and highly motivated to create pleasurable experiences.",A tight-knit team that communicates openly and effectively is very important to me. I have learned the most and done the best research and design when I consulted other individuals and love to collaborate.,4,Cognitive Science,True,3,1,"• Redesigned the 1% for the Planet account Carbon Footprint tracking mobile app to reflect gathered feedback and conducted both qualitative (using UserZoom) and quantitative research to test redesign.
• Set up a diary study and user interview guides for multiple high-level projects for the organization
• Designed survey which was sent out to 1000 participants to discover the change in motivation levels for decreasing their carbon footprint etc before and after seeing the different apps.
• Synthesized user research presented insights along with data visualizations and next steps key stakeholders.",1,True,False,"Contract work / Short-term work, Permanent / Long-term work",Full-time (at least 40 hours per week),0.0,1.0,True,False,False,True,True
6,US,New York City,New York,"Dallas, TX","Investing/Alternative Investments, Finance",0,0,0,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,"Throughout my professional and academic life, I have had numerous opportunities to analyze data, develop unique reports/innovative solutions, and present to high-level executives and individuals. I am uniquely qualified for this position because of my experience working with Bloomberg Philanthropies where I used a mixture of Salesforce and qualitative data to monitor and evaluate their e-learning database. In my previous position at The Institute of International Education, I used statistical analysis and programs such as SPSS and Excel to evaluate programs including Goldman Sachs’ WeTech and Adobe’s Creativity Scholarship. Using statistical analysis, I have also applied evaluation methods to determine the impact of programs offered by the U.S. Department of State’s Bureau of Cultural and Educational Affairs, including the Fulbright Scholar Program, the TechWomen program, and the Gilman Scholarship. Based on my qualitative and quantitative findings, I wrote an evaluation report which was presented to the federal government. In addition, I have diverse work experience and can work in numerous high-stakes environments, while interacting with people from diverse backgrounds and cultures. In my current position, I primarily use SQL to design and implement improvements to programs and products by collecting and organizing mentee and mentor insights","Microsoft Excel, SPSS, Salesforce, DBC Finance, Tableau","Through my education at NYU Wagner, I have gained invaluable skills, including financial modeling, program impact evaluation, project management, and budget analysis. In particular, my class in Environmental Finance and Social Impact has given me a functional understanding of how key environmental challenges can be addressed through innovative financing and investment strategies. This experience has equipped me with policy tools and the skillset to help financial firms grow and innovate.","Throughout my professional and academic life, I have had numerous opportunities to analyze data, develop unique reports/innovative solutions, and present to high-level executives and individuals. I am uniquely qualified for this position because of my experience working with Bloomberg Philanthropies where I used a mixture of Salesforce and qualitative data to monitor and evaluate their e-learning database. In my previous position at IIE I used statistical analysis and programs such as SPSS.","The most ideal work place is one where the work is challenging and varied. I also enjoy working with diverse people from all backgrounds. I feel this is the best way to learn and understand different experiences, cultures and background. Culture is very important to me, I would love to work in a place that values an enriching culture and strives to preserve but also improve their environment when necessary.",4,Masters in Public Administration and Policy - Focusing on Policy & Finance,True,2,2,"Use SQL to design and implement improvements to programs and products by collecting and organizing mentee and mentor insights 
Independently manage large projects; track key operational metrics for program and product development
Execute hypothesis testing tasks for mentee and mentor engagement
Provide ongoing technical and programmatic troubleshooting to mentors",2,False,True,"Paid internships, Permanent / Long-term work","Full-time (at least 40 hours per week), Part-time (less than 40 hours per week)",1.0,0.0,True,True,True,False,True
7,US,Charlotte,North Carolina,"Dallas, TX",,5,5,0,0,0,2,3,3,3,3,3,2,2,3,0,2,3,0,2,1,2,0,2,0,I along with my team built an application at a hackathon that helps you in finding the probability of you getting a heart disease. We used a deep learning model and it was extremely satisfying to see the end result after our collective efforts. I helped my team in building the android app using react native.,,,,,4,Computer Science Engineering,True,3,1,"I have so far helped with migrating one of our legacy applications to microservices. I am currently leading the effort to build a contact center application for my team. 
I also built a walkthrough app for our operations team. The app saved $50k to the company because our operations team no longer have to build a separate training curriculum, and training walkthrough is much more efficient than the traditional training system they were using.",2,True,False,Permanent / Long-term work,Full-time (at least 40 hours per week),1.0,0.0,True,False,False,False,True
8,US,Detroit,Michigan,"Dallas, TX","Equity Research, Risk",0,0,0,5,4,2,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,2,2,,"Microsoft Excel, Tableau",,,,4,Economics,True,1,0,"Staffed front desk and answered phone calls, Conducted economic research,",2,True,False,"Unpaid internships, Paid internships, Permanent / Long-term work, Contract work / Short-term work",Full-time (at least 40 hours per week),1.0,0.0,True,False,True,True,True
9,US,Seattle,Washington,"Dallas, TX",Finance Related duties,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Excel,,,,4,Mathematics,True,2,2,"• Maintain accounting records for over 150 accounts
• Reconcile Account Payables
• Prepare macros using excel for entry into FMS
• Liquidate previous days activities to ensure 1358 accounts are equal",1,True,False,"Paid internships, Permanent / Long-term work",Full-time (at least 40 hours per week),1.0,0.0,True,False,True,False,True
